Wavelength (nm),PpIX634,PpIX620,Lipofuscin,Flavin,NADH,FAD,Collagen,Elastin,Melanin
659,0.050592115,0.058315049,0.074598845,0,0.003664508,0,0,0,0.010425799
660,0.050773981,0.060075646,0.074709114,0,0.003598232,0,0,0,0.009940985
661,0.050943382,0.061817556,0.074854605,0,0.003533155,0,0,0,0.009467177
662,0.051060969,0.06353987,0.074991904,0,0.003469254,0,0,0,0.009006279
663,0.051220157,0.065251918,0.07508474,0,0.00340651,0,0,0,0.008559697
664,0.051593816,0.066973195,0.075108849,0,0.0033449,0,0,0,0.008128368
665,0.052333546,0.068731555,0.075051107,0,0.003284404,0,0,0,0.007712794
666,0.053147631,0.070559676,0.074909783,0,0.003225003,0,0,0,0.007313105
667,0.053916899,0.072490462,0.074691996,0,0.003166676,0,0,0,0.006929131
668,0.054853858,0.074552446,0.07441075,0,0.003109404,0,0,0,0.0065605
669,0.055903445,0.076766131,0.074082859,0,0.003053167,0,0,0,0.006206755
670,0.057090051,0.079141688,0.073726459,0,0.002997948,0,0,0,0.005867492
671,0.058429626,0.081677718,0.073359739,0,0.002943727,0,0,0,0.005542445
672,0.059853101,0.084360381,0.072995473,0,0.002890487,0,0,0,0.005231321
673,0.061226744,0.087162362,0.072631471,0,0.00283821,0,0,0,0.004933742
674,0.062420576,0.090041748,0.072265241,0,0.002786879,0,0,0,0.004649221
675,0.063390409,0.09294172,0.07190026,0,0.002736475,0,0,0,0.004377149
676,0.064363244,0.095792302,0.071551605,0,0.002686984,0,0,0,0.00411683
677,0.065379603,0.098515053,0.071241962,0,0.002638387,0,0,0,0.003867512
678,0.066409138,0.101030497,0.070991284,0,0.00259067,0,0,0,0.003628423
679,0.067481808,0.103266663,0.070803244,0,0.002543815,0,0,0,0.00339881
680,0.06858637,0.10516622,0.070665251,0,0.002497808,0,0,0,0.003177967
681,0.069701575,0.106689777,0.070551546,0,0.002452633,0,0,0,0.002965275
682,0.070830119,0.107814105,0.070436149,0,0.002408275,0,0,0,0.002760227
683,0.072016577,0.108525896,0.070303086,0,0.002364719,0,0,0,0.002562455
684,0.073343359,0.108813457,0.070145423,0,0.002321951,0,0,0,0.002371704
685,0.074894443,0.108659545,0.069957977,0,0.002279956,0,0,0,0.002187825
686,0.076715863,0.108038135,0.069737284,0,0.002238721,0,0,0,0.002010776
687,0.078627395,0.106916341,0.069479403,0,0.002198232,0,0,0,0.00184063
688,0.080529191,0.105260854,0.06917957,0,0.002158475,0,0,0,0.001677578
689,0.082418264,0.1030466,0.06883109,0,0.002119437,0,0,0,0.001521895
690,0.08424628,0.100265277,0.068422245,0,0.002081105,0,0,0,0.001373907
691,0.086026139,0.096931204,0.06793408,0,0.002043466,0,0,0,0.001233951
692,0.08779029,0.0930836,0.067348928,0,0.002006508,0,0,0,0.001102346
693,0.089546804,0.0887855,0.066656071,0,0.001970219,0,0,0,0.000979347
694,0.091260346,0.084178555,0.065863764,0,0.001934585,0,0,0,0.000865114
695,0.092480766,0.079116532,0.06500155,0,0.001899597,0,0,0,0.000759704
696,0.093508904,0.074054508,0.064112292,0,0.001865241,0,0,0,0.000670155
697,0.094294873,0.068992484,0.063234831,0,0.001831506,0,0,0,0.000584279
698,0.094804253,0.06393046,0.062391574,0,0.001798382,0,0,0,0.000503171
699,0.094952779,0.058868436,0.061582338,0,0.001765856,0,0,0,0.000427632
700,0.094650542,0.053806413,0.060793941,0,0.001733919,0,0,0,0.000358197
701,0.093834679,0.048744389,0.060014751,0,0.00170256,0,0,0,0.000295173
702,0.092877646,0.043682365,0.059242463,0,0.001671767,0,0,0,0.000238668
703,0.091761754,0.038620341,0.058482111,0,0.001641532,0,0,0,0.000188633
704,0.090198523,0.033558317,0.05774307,0,0.001611843,0,0,0,0.000144891
705,0.088193407,0.028496294,0.057034367,0,0.001582692,0,0,0,0.00010718
706,0.085715144,0.02343427,0.056364074,0,0.001554067,0,0,0,7.52E-05
707,0.082741895,0.019194939,0.055735469,0,0.001525961,0,0,0,4.86E-05
